cdProduto|Desc Produto|Quantidade em estoque|Desc. Produto2|Dim_Produtos|Categorias
1825|abajur|7|Abajur|Abajur|Casa e Decoração
1924|abelha rainha|6|Abelha Rainha|Abelha Rainha|Agropecuária
1462|academia|4|Academia|Academia|Fitness
1260|airsoft|4|Airsoft|Airsoft|Esportes
1999|alcoo em gel|10|Alcoo Em Gel|Álcool em Gel|Limpeza
1700|all star|3|All Star|Tênis All Star|Calçados
1765|all star cano alto|7|All Star Cano Alto|Tênis All Star Cano Alto|Calçados
1638|alteresde musculacao|2|Alteresde Musculacao|Alteres de Musculação|Fitness
1696|angus|6|Angus|Angus|Alimentação
1780|anilhas|10|Anilhas|Anilhas|Fitness
1899|anilhas musculacao|6|Anilhas Musculacao|Anilhas de Musculação|Fitness
1906|aparador|10|Aparador|Aparador|Casa e Decoração
1592|apple watch|8|Apple Watch|Apple Watch|Eletrônicos
1256|armário de cozinha|2|Armário De Cozinha|Armário de Cozinha|Móveis
1727|arroz|7|Arroz|Arroz|Alimentação
1419|bacalhau|1|Bacalhau|Bacalhau|Alimentação
1383|balança|10|Balança|Balança|Casa e Decoração
1366|balança precisão|6|Balança Precisão|Balança de Precisão|Casa e Decoração
1903|barbante barroco|8|Barbante Barroco|Barbante Barroco|Casa e Decoração
1764|barra de chocolate|7|Barra De Chocolate|Chocolate em Barra|Alimentação
1758|batman|3|Batman|Batman|Brinquedos
1343|bebedouro galinha|5|Bebedouro Galinha|Bebedouro para Galinha|Agropecuária
1660|bebedouro para galinhas|4|Bebedouro Para Galinhas|Bebedouro para Galinha|Agropecuária
1224|beleza na web|6|Beleza Na Web|Produtos de Beleza|Beleza
1476|biblia|3|Biblia|Bíblia|Livros
1861|biblia de estudo|4|Biblia De Estudo|Bíblia de Estudo|Livros
1427|biblia feminina|7|Biblia Feminina|Bíblia Feminina|Livros
1839|bíblia sagrada|1|Bíblia Sagrada|Bíblia Sagrada|Livros
1890|bicicleta|6|Bicicleta|Bicicleta|Esportes
1960|bicicleta aro 29|10|Bicicleta Aro 29|Bicicleta Aro 29|Esportes
1969|bicicleta eletrica|6|Bicicleta Eletrica|Bicicleta Elétrica|Esportes
1374|bicicleta ergometrica|3|Bicicleta Ergometrica|Bicicleta Ergométrica|Fitness
1655|bicicleta motorizada|4|Bicicleta Motorizada|Bicicleta Motorizada|Veículos
1241|bola|1|Bola|Bola|Esportes
1597|boris feminino|7|Boris Feminino|Boris Feminino|Roupas
1832|borrifador pressao|8|Borrifador Pressao|Borrifador de Pressão|Casa e Decoração
1997|bota feminina|8|Bota Feminina|Bota Feminina|Calçados
1527|botas femininas|2|Botas Femininas|Botas Femininas|Calçados
1332|bruna tavares|9|Bruna Tavares|Produtos Bruna Tavares|Beleza
1778|cabeceira casal|3|Cabeceira Casal|Cabeceira de Casal|Móveis
1510|cabelo humano|10|Cabelo Humano|Cabelo Humano|Beleza
1844|cadeira|8|Cadeira|Cadeira|Móveis
1248|cadeira escritorio|2|Cadeira Escritorio|Cadeira de Escritório|Móveis
1742|cadeira gamer|10|Cadeira Gamer|Cadeira Gamer|Móveis
1717|cadeira giratoria|7|Cadeira Giratoria|Cadeira Giratória|Móveis
1590|cadeiras|8|Cadeiras|Cadeiras|Móveis
1371|café|3|Cafe|Café|Alimentos
1602|cafe racer|8|Cafe Racer|Café Racer|Alimentos
1988|cafeteira|9|Cafeteira|Cafeteira|Eletrodomésticos
1748|cafeteira eletrica|9|Cafeteira Eletrica|Cafeteira Elétrica|Eletrodomésticos
1734|cafeteira expresso|6|Cafeteira Expresso|Cafeteira Expresso|Eletrodomésticos
1440|caixa abelha|5|Caixa Abelha|Caixa para Abelha|Agropecuária
1913|caixa de ferramentas|4|Caixa De Ferramentas|Caixa de Ferramentas|Ferramentas
1830|caixa organizadora|3|Caixa Organizadora|Caixa Organizadora|Casa e Decoração
1878|caixa para abelha jatai|2|Caixa Para Abelha Jatai|Caixa para Abelha Jataí|Agropecuária
1858|cama box casal|9|Cama Box Casal|Cama Box Casal|Móveis
1663|cama infantil|2|Cama Infantil|Cama Infantil|Móveis
1524|caneleira peso|3|Caneleira Peso|Caneleira com Peso|Fitness
1459|canivete|8|Canivete|Canivete|Ferramentas
