cdCliente,cdProduto,cdVendedor,valor,dtVenda
138,1940,9,820,18/02/2020
154,1551,7,70,03/02/2020
148,1844,1,225,18/01/2020
183,1827,4,915,22/01/2020
143,1959,5,169,27/03/2020
146,1666,5,501,16/03/2020
197,1522,1,620,19/03/2020
176,1325,6,726,05/02/2020
182,1318,1,945,18/02/2020
198,1589,1,902,23/01/2020
180,1481,3,136,23/01/2020
125,1528,4,140,28/01/2020
163,1429,5,625,03/02/2020
105,1590,5,716,07/03/2020
181,1884,3,38,01/02/2020
162,1233,1,431,24/03/2020
190,1375,6,705,25/01/2020
159,1383,9,240,01/01/2020
145,1227,4,995,10/01/2020
101,1804,4,82,02/03/2020
132,1366,3,682,16/03/2020
158,1768,8,723,29/01/2020
155,1803,7,70,17/02/2020
192,1213,6,412,14/02/2020
190,1317,8,229,20/03/2020
113,1523,9,229,24/02/2020
186,1937,6,779,19/02/2020
160,1375,1,29,04/02/2020
183,1740,6,788,14/01/2020
121,1852,6,468,01/03/2020
198,1410,5,469,02/02/2020
105,1934,9,691,22/02/2020
126,1310,8,556,23/03/2020
178,1923,3,385,03/03/2020
172,1388,3,431,12/03/2020
100,1826,2,681,02/03/2020
127,1825,9,158,27/03/2020
102,1830,7,70,20/02/2020
109,1636,7,70,07/01/2020
188,1858,2,763,28/02/2020
174,1283,6,385,12/02/2020
169,1963,5,277,24/02/2020
100,1982,9,452,19/01/2020
176,1452,2,149,14/03/2020
160,1250,8,986,02/01/2020
187,1234,9,489,23/02/2020
105,1663,6,109,18/01/2020
107,1625,8,58,10/02/2020
159,1729,1,33,20/03/2020
111,1411,3,613,01/01/2020
132,1970,7,70,21/01/2020
165,1778,7,70,11/01/2020
138,1349,4,376,06/03/2020
120,1632,3,28,28/01/2020
141,1358,1,831,28/02/2020
104,1746,9,166,22/02/2020
151,1275,6,111,23/03/2020
101,1906,5,275,11/03/2020
157,1328,3,17,03/01/2020
155,1566,1,310,10/01/2020
188,1255,2,199,23/02/2020
170,1823,6,176,21/01/2020
130,1309,8,489,31/01/2020
164,1849,6,179,30/01/2020
129,1855,2,885,20/03/2020
178,1447,6,950,10/03/2020
181,1352,5,547,01/03/2020
113,1312,5,250,11/02/2020
185,1470,8,412,25/03/2020
148,1862,2,372,03/03/2020
105,1826,9,487,31/01/2020
192,1592,4,555,14/03/2020
110,1357,2,993,14/03/2020
131,1745,1,634,21/01/2020
183,1365,3,459,18/01/2020
164,1341,8,986,12/03/2020
114,1859,9,939,01/03/2020
150,1542,7,70,22/02/2020
162,1630,8,233,03/03/2020
168,1636,3,977,20/01/2020
109,1575,9,633,01/03/2020
137,1415,2,653,17/01/2020
100,1690,1,820,09/02/2020
115,1597,7,70,17/02/2020
103,1866,4,690,22/03/2020
101,1958,4,727,12/01/2020
138,1901,5,777,12/02/2020
190,1830,5,656,12/03/2020
162,1765,1,126,21/03/2020
198,1391,2,379,30/01/2020
165,1572,2,861,26/03/2020
180,1532,9,797,03/02/2020
127,1764,8,645,25/01/2020
126,1581,9,593,18/02/2020
160,1312,3,324,20/02/2020
150,1891,9,611,16/03/2020
102,1771,1,667,24/03/2020
183,1654,3,357,26/01/2020
148,1394,3,978,21/02/2020
160,1584,8,986,19/02/2020
111,1269,3,364,03/01/2020
159,1234,5,757,28/02/2020
172,1332,6,981,07/01/2020
189,1888,5,903,07/03/2020
122,1698,7,70,05/03/2020
122,1997,9,827,20/01/2020
104,1594,4,612,24/01/2020
103,1884,6,70,25/03/2020
147,1259,2,624,26/01/2020
199,1549,7,70,11/03/2020
161,1429,6,33,26/01/2020
184,1646,2,793,07/02/2020
135,1675,5,781,24/03/2020
181,1919,6,310,25/01/2020
157,1286,8,452,18/03/2020
145,1655,6,758,17/03/2020
176,1661,7,70,23/03/2020
171,1705,5,877,24/03/2020
139,1732,3,373,07/02/2020
139,1860,4,237,18/02/2020
196,1564,6,305,06/01/2020
110,1371,4,537,26/03/2020
129,1514,1,251,19/01/2020
125,1879,6,64,13/01/2020
114,1396,1,846,25/02/2020
135,1206,5,42,17/02/2020
130,1543,2,251,06/03/2020
168,1832,7,70,18/01/2020
123,1540,2,45,07/02/2020
130,1739,6,933,04/03/2020
172,1723,6,916,02/03/2020
163,1970,1,414,01/01/2020
112,1768,1,351,26/03/2020
150,1802,3,852,19/02/2020
164,1661,8,244,01/03/2020
156,1860,6,496,29/01/2020
165,1924,9,792,17/01/2020
137,1500,5,562,27/01/2020
161,1691,1,412,17/03/2020
124,1268,8,858,15/02/2020
111,1752,5,244,28/01/2020
161,1360,9,155,04/02/2020
154,1265,1,571,20/02/2020
126,1531,5,703,16/02/2020
104,1233,6,640,02/02/2020
115,1825,1,697,26/03/2020
182,1660,1,278,10/01/2020
144,1690,8,165,03/03/2020
127,1847,1,379,18/02/2020
128,1720,9,577,02/01/2020
181,1915,4,366,03/03/2020
179,1343,6,571,29/02/2020
129,1878,5,166,25/01/2020
165,1630,6,621,12/02/2020
109,1875,8,159,26/03/2020
183,1440,8,224,31/01/2020
167,1822,4,861,12/03/2020
196,1250,8,126,21/01/2020
195,1696,9,880,19/01/2020
147,1481,8,210,16/01/2020
124,1593,5,828,11/02/2020
148,1811,2,456,20/03/2020
119,1380,2,341,29/01/2020
158,1713,3,773,15/01/2020
132,1658,5,70,03/02/2020
171,1419,4,833,08/03/2020
186,1916,5,457,14/02/2020
124,1906,3,267,11/03/2020
111,1571,6,600,30/01/2020
181,1984,8,176,20/01/2020
114,1796,3,892,24/02/2020
189,1526,9,621,13/02/2020
179,1873,3,575,13/02/2020
141,1920,8,676,03/03/2020
116,1209,9,796,10/02/2020
185,1677,2,650,19/01/2020
105,1594,4,404,13/03/2020
145,1452,3,101,18/02/2020
123,1449,2,965,03/03/2020
160,1427,2,451,17/03/2020
107,1215,5,72,21/02/2020
169,1532,2,108,25/01/2020
133,1834,3,981,10/02/2020
138,1577,1,709,12/02/2020
153,1261,7,70,05/02/2020
124,1476,1,152,13/03/2020
186,1567,5,779,11/02/2020
129,1903,7,70,06/03/2020
171,1261,6,217,19/02/2020
182,1550,8,283,17/02/2020
166,1570,5,85,19/01/2020
172,1934,1,853,28/02/2020
186,1839,8,919,23/01/2020
135,1461,8,225,02/02/2020
142,1953,9,6,21/01/2020
192,1384,6,293,01/03/2020
169,1507,4,966,18/02/2020
188,1332,8,75,11/01/2020
197,1525,1,959,25/03/2020
162,1597,6,281,23/02/2020
183,1296,9,474,17/02/2020
136,1853,7,70,25/03/2020
124,1322,3,173,08/03/2020
165,1224,8,787,19/03/2020
164,1758,2,604,08/02/2020
119,1586,8,956,13/02/2020
185,1362,2,747,16/03/2020
172,1315,1,841,11/01/2020
156,1273,9,682,02/01/2020
154,1861,7,70,11/03/2020
160,1777,2,968,29/01/2020
172,1353,4,485,17/02/2020
143,1816,4,361,09/02/2020
189,1207,8,710,12/03/2020
113,1537,8,20,08/03/2020
137,1947,6,78,09/02/2020
114,1914,4,510,09/01/2020
173,1872,4,948,11/02/2020
102,1987,7,70,04/02/2020
170,1654,1,321,11/01/2020
166,1747,2,805,29/01/2020
147,1285,8,186,02/01/2020
131,1288,4,711,19/03/2020
108,1988,5,534,01/02/2020
140,1739,7,70,10/02/2020
189,1220,1,646,14/02/2020
151,1678,7,70,06/01/2020
165,1766,9,624,16/02/2020
109,1337,7,70,25/03/2020
194,1515,1,514,11/02/2020
174,1659,9,210,27/01/2020
140,1253,4,293,17/01/2020
111,1837,6,464,13/03/2020
151,1977,4,511,10/03/2020
104,1367,8,145,29/02/2020
141,1344,2,187,25/03/2020
168,1283,8,278,16/02/2020
116,1450,8,722,22/03/2020
140,1476,7,70,11/01/2020
121,1938,2,518,27/02/2020
112,1533,8,165,04/01/2020
116,1908,6,584,03/03/2020
118,1625,1,717,23/02/2020
153,1908,4,184,15/01/2020
113,1539,1,330,14/02/2020
168,1615,3,699,02/02/2020
146,1282,3,153,29/01/2020
192,1728,6,464,18/02/2020
153,1335,9,764,07/02/2020
141,1734,4,347,03/03/2020
200,1363,7,70,23/03/2020
120,1725,7,70,26/01/2020
148,1207,1,595,27/02/2020
195,1688,5,640,07/02/2020
148,1297,2,976,06/03/2020
118,1517,9,595,22/03/2020
141,1812,3,743,01/01/2020
112,1746,2,974,06/01/2020
187,1465,4,587,14/02/2020
100,1382,3,389,10/01/2020
148,1748,7,70,22/01/2020
148,1600,2,747,22/02/2020
138,1421,2,672,26/03/2020
140,1260,5,993,03/01/2020
103,1944,3,90,05/03/2020
188,1726,5,657,19/02/2020
126,1830,8,396,05/01/2020
176,1890,6,817,05/02/2020
107,1527,8,504,09/02/2020
200,1926,5,3,20/03/2020
110,1918,7,70,16/03/2020
171,1270,8,538,14/03/2020
168,1595,2,685,20/02/2020
131,1328,1,378,08/01/2020
163,1944,9,737,12/01/2020
150,1318,1,761,07/01/2020
193,1439,5,504,21/03/2020
166,1748,5,872,23/03/2020
140,1748,3,742,09/03/2020
138,1923,1,325,03/03/2020
144,1662,6,625,10/03/2020
183,1972,4,381,06/03/2020
125,1625,1,841,13/02/2020
135,1783,9,217,26/03/2020
147,1356,9,27,01/01/2020
127,1890,6,932,15/03/2020
118,1899,6,425,17/03/2020
167,1960,8,175,11/03/2020
132,1287,6,279,12/03/2020
158,1806,9,358,13/01/2020
144,1581,7,70,12/03/2020
109,1341,8,821,16/01/2020
